CEDS,Fuel,CEDSFuel,GAINS,Item,Element,Units
Agricultural Waste Burning,process,process,WASTE_AGR-NOF-[Mt],,,
Agriculture,process,process,AGR_BEEF-OL-[M animals],Beef and veal,Domestic production,1000 tonnes
Agriculture,process,process,AGR_BEEF-OS-[M animals],Beef and veal,Domestic production,1000 tonnes
Agriculture,process,process,AGR_COWS-DL-[M animals],Raising of cattle,Total,1000 heads
Agriculture,process,process,AGR_COWS-DS-[M animals],Raising of cattle,Total,1000 heads
Agriculture,process,process,AGR_OTANI-BS-[M animals],Raising of buffaloes,Total,1000 heads
Agriculture,process,process,AGR_OTANI-CM-[M animals],Livestock units,Total,1000 heads
Agriculture,process,process,AGR_OTANI-FU-[M animals],Livestock units,Total,1000 heads
Agriculture,process,process,AGR_OTANI-HO-[M animals],Livestock units,Total,1000 heads
Agriculture,process,process,AGR_OTANI-SH-[M animals],Raising of sheep,Total,1000 heads
Agriculture,process,process,AGR_PIG-PL-[M animals],Raising of pigs,Total,1000 heads
Agriculture,process,process,AGR_PIG-PS-[M animals],Raising of pigs,Total,1000 heads
Agriculture,process,process,AGR_POULT-LH-[M animals],Raising of poultry,Total,1000 heads
Agriculture,process,process,AGR_POULT-OP-[M animals],Raising of poultry,Total,1000 heads
Agriculture,process,process,COWS_3000_MILK-DL-[kt milk],Raw milk,Domestic production,1000 tonnes
Agriculture,process,process,COWS_3000_MILK-DS-[kt milk],Raw milk,Domestic production,1000 tonnes
Agriculture,process,process,FCON_OTHN-NOF-[kt N],NPK_consumption,Total,Tons of nutrients
Agriculture,process,process,FCON_UREA-NOF-[kt N],NPK_consumption,Total,Tons of nutrients
Agriculture,process,process,FERTPRO-NOF-[kt N],NPK_consumption,Total,Tons of nutrients
Agriculture,process,process,OTH_NH3_EMISS-NOF-[kt NH3],Total,Total,t CO2 eq
Energy,liquid-fuel-plus-natural-gas,process,CON_COMB-GAS-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,process,CON_COMB-GSL-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,process,CON_COMB-HF-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,process,CON_COMB-LPG-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,process,CON_COMB-MD-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_ENG-GAS-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_ENG-HF-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_ENG-MD-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_EX_OTH-GAS-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_EX_OTH-GSL-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_EX_OTH-HF-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_EX_OTH-MD-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_MOD-GAS-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_NEW-GAS-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_NEW-GSL-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_NEW-HF-[PJ],,,
Energy,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas,PP_NEW-MD-[PJ],,,
Energy,process,process,PROD_AGAS-CRU-[PJ],,,
Energy,process,process,WASTE_FLR-NOF-[PJ],,,
Energy,solid-biofuel,process,CON_COMB-OS1-[PJ],,,
Energy,solid-biofuel,process,CON_COMB-OS2-[PJ],,,
Energy,solid-biofuel,solid-biofuel,PP_EX_OTH-OS1-[PJ],,,
Energy,solid-biofuel,solid-biofuel,PP_EX_OTH-OS2-[PJ],,,
Energy,solid-biofuel,solid-biofuel,PP_IGCC-OS1-[PJ],,,
Energy,solid-biofuel,solid-biofuel,PP_IGCC-OS2-[PJ],,,
Energy,solid-biofuel,solid-biofuel,PP_NEW-OS1-[PJ],,,
Energy,solid-biofuel,solid-biofuel,PP_NEW-OS2-[PJ],,,
Energy,total-coal,process,CON_COMB-BC1-[PJ],,,
Energy,total-coal,process,CON_COMB-DC-[PJ],,,
