EPPA7,GAINSG20,FAO,
LAM,ARGE_WHOL,Latin America/Caribbean,
ANZ,AUTR_WHOL,High-income,
BRA,BRAZ_WHOL,Latin America/Caribbean,
CHN,CHIN_ANHU,China,
CHN,CHIN_BEIJ,China,
CHN,CHIN_CHON,China,
CHN,CHIN_FUJI,China,
CHN,CHIN_GANS,China,
CHN,CHIN_GUAD,China,
CHN,CHIN_GUAX,China,
CHN,CHIN_GUIZ,China,
CHN,CHIN_HAIN,China,
CHN,CHIN_HEBE,China,
CHN,CHIN_HEIL,China,
CHN,CHIN_HENA,China,
CHN,CHIN_HONG,China,
CHN,CHIN_HUBE,China,
CHN,CHIN_HUNA,China,
CHN,CHIN_JILI,China,
CHN,CHIN_JINU,China,
CHN,CHIN_JINX,China,
CHN,CHIN_LIAO,China,
CHN,CHIN_NEMO,China,
CHN,CHIN_NINX,China,
CHN,CHIN_QING,China,
CHN,CHIN_SHAA,China,
CHN,CHIN_SHAN,China,
CHN,CHIN_SHND,China,
CHN,CHIN_SHNX,China,
CHN,CHIN_SICH,China,
CHN,CHIN_TIAN,China,
CHN,CHIN_TIBE,China,
CHN,CHIN_XING,China,
CHN,CHIN_YUNN,China,
CHN,CHIN_ZHEJ,China,
EUR,FRAN_WHOL,High-income,
EUR,GERM_WHOL,High-income,
IND,INDI_ANPR,South Asia,
IND,INDI_ASSA,South Asia,
IND,INDI_BENG,South Asia,
IND,INDI_BIHA,South Asia,
IND,INDI_CHHA,South Asia,
IND,INDI_DELH,South Asia,
IND,INDI_EHIM,South Asia,
IND,INDI_GOA,South Asia,
IND,INDI_GUJA,South Asia,
IND,INDI_HARY,South Asia,
IND,INDI_HIPR,South Asia,
IND,INDI_JHAR,South Asia,
IND,INDI_KARN,South Asia,
IND,INDI_KERA,South Asia,
IND,INDI_MAHA,South Asia,
IND,INDI_MAPR,South Asia,
IND,INDI_ORIS,South Asia,
IND,INDI_PUNJ,South Asia,
IND,INDI_RAJA,South Asia,
IND,INDI_TAMI,South Asia,
IND,INDI_UTAN,South Asia,
IND,INDI_UTPR,South Asia,
IND,INDI_WHIM,South Asia,
JPN,JAPA_CHSH,EAP excluding China,
JPN,JAPA_CHUB,EAP excluding China,
JPN,JAPA_HOTO,EAP excluding China,
JPN,JAPA_KANT,EAP excluding China,
JPN,JAPA_KINK,EAP excluding China,
JPN,JAPA_KYOK,EAP excluding China,
KOR,KORS_NORT,EAP excluding China,
KOR,KORS_PUSA,EAP excluding China,
KOR,KORS_SEOI,EAP excluding China,
KOR,KORS_SOUT,EAP excluding China,
MEX,MEXI_WHOL,Latin America/Caribbean,
RUS,RUSS_ASIA,Europe/Central Asia,
RUS,RUSS_EURO,Europe/Central Asia,
AFR,SAFR_WHOL,Sub-Saharan Africa,
MES,TURK_WHOL,Near East/North Africa,
EUR,UNKI_WHOL,High-income,
USA,USAM_ALAS,High-income,
USA,USAM_MAIN,High-income,
CAN,USAM_ALAS,High-income,
CAN,USAM_MAIN,High-income,
ROE,TURK_WHOL,Europe/Central Asia,
ASI,CHIN_ANHU,EAP excluding China,
ASI,CHIN_BEIJ,EAP excluding China,
ASI,CHIN_CHON,EAP excluding China,
ASI,CHIN_FUJI,EAP excluding China,
ASI,CHIN_GANS,EAP excluding China,
ASI,CHIN_GUAD,EAP excluding China,
ASI,CHIN_GUAX,EAP excluding China,
ASI,CHIN_GUIZ,EAP excluding China,
ASI,CHIN_HAIN,EAP excluding China,
ASI,CHIN_HEBE,EAP excluding China,
ASI,CHIN_HEIL,EAP excluding China,
ASI,CHIN_HENA,EAP excluding China,
ASI,CHIN_HONG,EAP excluding China,
ASI,CHIN_HUBE,EAP excluding China,
ASI,CHIN_HUNA,EAP excluding China,
ASI,CHIN_JILI,EAP excluding China,
ASI,CHIN_JINU,EAP excluding China,
ASI,CHIN_JINX,EAP excluding China,
ASI,CHIN_LIAO,EAP excluding China,
ASI,CHIN_NEMO,EAP excluding China,
ASI,CHIN_NINX,EAP excluding China,
