Domestic production (ktonne),2012,2030,2035,2040,2050
Business As Usual,,,,,
China,2059502.723,2636133.614,2687228.806,2720315.481,2771236.537
EAP excluding China,1004876.493,1280881.461,1328916.275,1370152.516,1437099.154
Europe/Central Asia,750917.312,1074439.99,1131690.138,1181687.205,1260617.532
High-income,2139524.103,2635676.859,2704589.153,2771639.75,2901412.51
Latin America/Caribbean,1823959.513,2338768.195,2440628.715,2536241.491,2706619.69
Near East/North Africa,285906.662,355328.011,365381.626,373879.267,385620.03
South Asia,1637130.588,2168026.342,2253703.509,2330613.173,2456059.5
Sub-Saharan Africa,719085.486,1120709.632,1235478.048,1355159.389,1583499.109
World,10420902.88,13609964.1,14147616.27,14639688.27,15502164.06
Stratified Societies,,,,,
China,2059502.723,2733286.579,2820120.508,2883355.982,2992355.989
EAP excluding China,1004876.493,1255520.367,1295719.748,1326105.007,1367821.594
Europe/Central Asia,750917.312,1135554.1,1199628.32,1246854.102,1310333.955
High-income,2139524.103,2899059.94,2998618.117,3080843.801,3230282.238
Latin America/Caribbean,1823959.513,2314599.842,2404600.761,2480337.39,2601644.054
Near East/North Africa,285906.662,349171.469,358770.504,366645.911,377825.189
South Asia,1637130.588,2060061.805,2128154.146,2186153.635,2273319.081
Sub-Saharan Africa,719085.486,1121074.061,1220030.606,1316214.982,1489393.422
World,10420902.88,13868328.16,14425642.71,14886510.81,15642975.52
Toward Sustainability,,,,,
China,2059502.723,2506640.316,2561986.634,2606720.646,2684575.423
EAP excluding China,1004876.493,1234718.633,1285927.313,1334299.718,1418254.141
Europe/Central Asia,750917.312,997703.014,1047403.406,1094932.415,1173047.492
High-income,2139524.103,2315103.956,2336396.203,2376128.555,2470526.484
Latin America/Caribbean,1823959.513,2294960.488,2410920.069,2523332.798,2730687.576
Near East/North Africa,285906.662,321619.907,327102.597,331329.819,334316.939
South Asia,1637130.588,1957038.305,2019281.1,2073061.558,2148928.277
Sub-Saharan Africa,719085.486,1097932.817,1223687.405,1360745.148,1635820.9
World,10420902.88,12725717.44,13212704.73,13700550.66,14596157.23
Stratified Societies,719085.486,1121074.061,1220030.606,1316214.982,1489393.422
Toward Sustainability,719085.486,1097932.817,1223687.405,1360745.148,1635820.9
World,31262708.64,40204009.7,41785963.71,43226749.74,45741296.82
Business As Usual,10420902.88,13609964.1,14147616.27,14639688.27,15502164.06
Stratified Societies,10420902.88,13868328.16,14425642.71,14886510.81,15642975.52
Toward Sustainability,10420902.88,12725717.44,13212704.73,13700550.66,14596157.23
