Yield (tonnes/ha),2012,2030,2035,2040,2050
Business As Usual,,,,,
China,616.678,728.132,750.053,770.086,803.212
EAP excluding China,482.5470316,576.3149257,595.3203827,612.2972588,638.6358348
Europe/Central Asia,396.8666593,481.0435508,495.6491635,508.5486706,528.1815214
High-income,813.8836082,911.6092268,934.9847562,958.5539101,1000.77826
Latin America/Caribbean,553.8854497,634.1850753,653.1045223,671.6056767,704.308109
Near East/North Africa,527.8553907,628.0580413,649.2331946,668.5028158,699.7894041
South Asia,462.2202186,542.1382284,558.881864,574.474542,599.9503875
Sub-Saharan Africa,422.4923045,500.3543071,519.6606516,538.5950414,572.8538469
World,659.2373584,765.0048721,787.4207625,808.7812851,844.7932702
Stratified Societies,,,,,
China,616.678,743.96,770.579,795.373,838.551
EAP excluding China,482.5470316,561.2220757,574.4219011,584.9863797,597.8051357
Europe/Central Asia,396.8666593,480.141265,493.8871993,505.4236229,521.6895544
High-income,813.8836082,925.3033814,951.6732756,977.1907452,1022.20412
Latin America/Caribbean,553.8854497,618.8981474,631.9156398,643.7470664,661.7702746
Near East/North Africa,527.8553907,612.2808017,627.9089657,641.1878392,659.855051
South Asia,462.2202186,522.449464,531.8753957,539.2933928,547.2584787
Sub-Saharan Africa,422.4923045,472.7706147,481.8313689,489.4764894,499.2027318
World,659.2373584,763.6330331,783.8224115,801.9758114,830.4084227
Toward Sustainability,,,,,
China,616.678,676.058,694.34,714.965,751.411
EAP excluding China,482.5470316,534.7286734,550.4101911,567.400746,595.6681383
Europe/Central Asia,396.8666593,436.3319693,446.2698353,457.555132,475.6799925
High-income,813.8836082,758.2098578,767.0116045,787.649473,829.8890967
Latin America/Caribbean,553.8854497,589.2106227,604.3204272,622.204958,655.2166731
Near East/North Africa,527.8553907,579.1758994,595.5940087,613.6668316,644.4272026
South Asia,462.2202186,503.9458988,517.3702385,532.30189,557.8398675
Sub-Saharan Africa,422.4923045,458.7887087,473.1436766,489.8339107,521.006235
World,659.2373584,697.0519654,713.1928186,733.1559337,769.0647987
