MODEL,SCENARIO,REGION,VARIABLE,UNIT,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP1-19,BRA,CMIP6 Emissions|BC,Mt BC/yr,0.395042946,0.312482834,0.146232502,0.205760659,0.115043827,0.110369139,0.114490116,0.111666006,0.110696112,0.102268244
IMAGE,SSP1-19,BRA,CMIP6 Emissions|BC|Agricultural Waste Burning,Mt BC/yr,0.00761678,0.007927934,0.009209825,0.011483189,0.011748816,0.012349559,0.013633682,0.01441685,0.015332102,0.016120136
IMAGE,SSP1-19,BRA,CMIP6 Emissions|BC|Energy Sector,Mt BC/yr,0.005503928,0.00471546,0.002788012,0.001556869,0.001023469,7.24E-04,3.07E-04,2.03E-04,1.32E-04,1.85E-05
IMAGE,SSP1-19,BRA,CMIP6 Emissions|BC|Forest Burning,Mt BC/yr,0.120481259,0.074285392,0.0021253,0.08233053,0.001017931,0.001350459,0.008714393,0.007918414,0.010231021,0.004192103
IMAGE,SSP1-19,BRA,CMIP6 Emissions|BC|Grassland Burning,Mt BC/yr,0.069840251,0.073379485,0.074159772,0.062998192,0.060626863,0.059470811,0.057184515,0.055333818,0.051888664,0.049126913
IMAGE,SSP1-19,BRA,CMIP6 Emissions|BC|Industrial Sector,Mt BC/yr,0.046023214,0.028488878,9.81E-04,5.94E-04,3.67E-04,1.82E-04,7.14E-05,2.81E-05,2.70E-05,1.99E-05
IMAGE,SSP1-19,BRA,CMIP6 Emissions|BC|Residential Commercial Other,Mt BC/yr,0.049885464,0.030811139,0.013175095,0.00971184,0.006565049,0.003584948,0.0020482,0.001294838,6.58E-04,3.91E-04
IMAGE,SSP1-19,BRA,CMIP6 Emissions|BC|Transportation Sector,Mt BC/yr,0.063305864,0.06048836,0.011407424,0.004700082,0.00130844,3.21E-04,1.45E-04,8.48E-05,4.16E-05,1.31E-05
IMAGE,SSP1-19,BRA,CMIP6 Emissions|BC|Waste,Mt BC/yr,0.032386186,0.032386186,0.032386186,0.032386186,0.032386186,0.032386186,0.032386186,0.032386186,0.032386186,0.032386186
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CH4,Mt CH4/yr,20.53624788,20.57523664,17.51770732,17.98083742,16.36404969,15.29833489,14.34659881,12.8726369,11.78320675,10.74076582
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CH4|Agricultural Waste Burning,Mt CH4/yr,0.05317424,0.055656186,0.065523854,0.082906512,0.085181388,0.090324681,0.100583875,0.106976445,0.114378957,0.12073415
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CH4|Agriculture,Mt CH4/yr,13.33285035,13.43452796,12.67357198,12.51903934,11.70230749,11.1455847,10.61082367,10.09872324,9.631424442,9.178305879
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CH4|Energy Sector,Mt CH4/yr,2.128259339,2.563285265,1.740201056,2.284668698,2.513730502,2.273397667,2.026147439,1.30311487,0.744148052,0.267464904
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CH4|Forest Burning,Mt CH4/yr,1.1229783,0.692399343,0.01980947,0.767376899,0.009487776,0.012587311,0.081221722,0.073805368,0.09536116,0.039072791
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CH4|Grassland Burning,Mt CH4/yr,0.421413327,0.442770469,0.447477125,0.380134449,0.365822505,0.358842402,0.345052659,0.333883471,0.313096683,0.296430663
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CH4|Industrial Sector,Mt CH4/yr,0.056541039,0.058051485,0.045282464,0.039021588,0.030108642,0.019053526,0.011658911,0.006743822,0.004948949,0.003767415
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CH4|Residential Commercial Other,Mt CH4/yr,0.114042841,0.069171768,0.034151943,0.02932359,0.019439991,0.012313047,0.009183466,0.008171847,0.006729745,0.005520382
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CH4|Transportation Sector,Mt CH4/yr,0.020445483,0.024205315,0.014132853,0.006693826,0.002013105,5.89E-04,3.24E-04,2.39E-04,1.91E-04,1.69E-04
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CH4|Waste,Mt CH4/yr,3.286542962,3.235168845,2.477556582,1.871672524,1.635958293,1.385642792,1.161603217,0.940978862,0.872927651,0.829300225
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO,Mt CO/yr,48.90798364,40.31566474,24.09629315,36.32530534,20.53145922,19.50756967,19.81760588,18.8612152,18.50752136,16.77335357
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO2,Mt CO2/yr,530.0013722,593.7465435,341.2644391,180.1565174,50.71536748,-2.580371464,-71.62746783,-168.1977958,-251.378463,-287.6615815
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO2|Energy Sector,Mt CO2/yr,96.61213813,85.28000264,33.49279718,9.064364094,-40.27502096,-59.19664742,-115.1641241,-200.0545286,-275.3595756,-306.3701856
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO2|Industrial Sector,Mt CO2/yr,164.3013873,176.0640486,113.2916956,66.42069918,35.6395796,19.11407264,9.520206524,3.476234913,-0.522701204,-3.827965021
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO2|Residential Commercial Other,Mt CO2/yr,34.15921095,37.88684656,31.81448586,32.83365731,30.38593093,25.96683435,23.15258461,17.52617246,13.65009975,11.6828804
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO2|Solvents,Mt CO2/yr,1.548640979,1.548640979,1.548640979,1.548640979,1.548640979,1.548640979,1.548640979,1.548640979,1.548640979,1.548640979
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO2|Transportation Sector,Mt CO2/yr,224.0749545,283.6619644,151.8117792,60.98411547,14.11119653,0.681687584,0.010183732,6.44E-04,3.27E-05,7.32E-06
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO2|Waste,Mt CO2/yr,9.305040398,9.305040398,9.305040398,9.305040398,9.305040398,9.305040398,9.305040398,9.305040398,9.305040398,9.305040398
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Agricultural Waste Burning,Mt CO/yr,1.156636119,1.203886147,1.398546097,1.743764771,1.78410134,1.875326235,2.070325024,2.18925191,2.328236502,2.447902241
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Energy Sector,Mt CO/yr,1.959307181,1.954308564,1.94462195,1.959686111,1.975178297,1.978245465,1.998862588,2.036966973,2.071682909,2.086102673
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Forest Burning,Mt CO/yr,21.41999142,13.20690448,0.377853297,14.63721046,0.180974679,0.240093938,1.549318342,1.407804263,1.818960361,0.745296783
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Grassland Burning,Mt CO/yr,11.86071553,12.46173175,12.59422321,10.69889955,10.29603681,10.09981696,9.711608377,9.397180583,8.812124795,8.343209008
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Industrial Sector,Mt CO/yr,4.364390556,4.538779692,4.184777235,4.453155807,4.04365314,3.268713305,2.499414994,1.864396393,1.531342904,1.221225103
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Residential Commercial Other,Mt CO/yr,1.654607126,0.96668745,0.448884193,0.340443377,0.195447551,0.10697187,0.070984712,0.057230085,0.041892365,0.028768671
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Transportation Sector,Mt CO/yr,4.598989445,4.090020391,1.254040896,0.598798994,0.162721135,0.045055627,0.023745577,0.015038724,0.009935255,0.007502818
IMAGE,SSP1-19,BRA,CMIP6 Emissions|CO|Waste,Mt CO/yr,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627,1.89334627
