Countries,EPPA7 regions
Afghanistan,rea
Albania,roe
Algeria,afr
American Samoa,anz
Andorra,roe
Angola,afr
Anguilla,lam
Antigua & Barbuda,lam
Argentina,lam
Armenia,roe
Aruba,lam
Australia,anz
Austria,eur
Azerbaijan,roe
Bahamas,lam
Bahrain,mes
Bangladesh,rea
Barbados,lam
Belarus,roe
Belgium,eur
Belize,lam
Benin,afr
Bermuda,lam
Bhutan,rea
Bolivia,lam
Bosnia and Herzogovina,roe
Botswana,afr
Brazil,bra
Brunei,rea
Bulgaria,eur
Burkina Faso,afr
Burundi,afr
Cambodia,rea
Cameroon,afr
Canada,can
Cape Verde,afr
Cayman Islands,lam
Central African Republic,afr
Chad,afr
Chile,lam
China,chn
Coe d'Ivoire,afr
Colombia,lam
Comoros,afr
Congo,afr
"Congo, Dem.Rep. of (Zaire)",afr
Cook Islands,anz
Costa Rica,lam
Croatia,roe
Cuba,lam
Cyprus,eur
Czech Republic,eur
Denmark,eur
Djibouti,afr
Dominica,lam
Dominican Republic,lam
Egypt,afr
El Salvador,lam
Equador,lam
Equatorial Guinea,afr
Eritrea,afr
Estonia,eur
Ethiopia,afr
Falkland Islands,lam
Faroe Islands,roe
Fiji,anz
Finland,eur
France,eur
French Guiana,lam
French Polynesia,anz
Gabon,afr
Gambia,afr
Georgia,roe
Germany,eur
Ghana,afr
Giblartar,roe
Greece,eur
Greenland,lam
Grenada,lam
Guadeloupe,lam
Guam,anz
Guatemala,lam
Guinea,afr
Guinea-Bissau,afr
Guyana,lam
Haiti,lam
Honduras,lam
Hong Kong,chn
Hungary,eur
Iceland,eur
India,ind
Indonesia,idz
Iran,mes
Iraq,mes
Ireland,eur
Israel,mes
Italy,eur
Jamaica,lam
Japan,jpn
Jordan,mes
Kazakhstan,roe
Kenya,afr
Kiribati,anz
Korea,kor
"Korea, Democratic People's Republic of, ",rea
Kuwait,mes
Kyrgyzstan,roe
Laos,rea
Latvia,eur
Lebanon,mes
Lesotho,afr
Liberia,afr
Liechtenstein,eur
Lithuania,eur
Luxembourg,eur
Lybia,afr
Macau,rea
Macedonia,roe
Madagascar,afr
Malawi,afr
Malaysia,asi
Maldives,rea
Mali,afr
Malta,eur
Marshall Islands,anz
Martinique,lam
Mauritania,afr
Mauritius ,afr
Mayotte,afr
Mexico,mex
Micronesia,anz
Moldova,roe
Monaco,roe
Mongolia,rea
Monserrat,lam
Morocco,afr
Mozambique,afr
Myanmar,rea
Namibia,afr
Nauru,anz
Nepal,rea
Netherlands,eur
Netherlands Antilles,lam
New Caledonia,anz
New Zealand,anz
Nicaragua,lam
Niger ,afr
Nigeria,afr
Niue,anz
Norfolk Islands,anz
Northern Mariana Islands,anz
Norway,eur
Oman,mes
Pakistan,rea
Palestine,mes
Panama,lam
Papua New Guinea,anz
Paraguay,lam
Peru,lam
Philippines,asi
Poland,eur
Portugal,eur
Puerto Rico,lam
Qatar,mes
Reunion,afr
Romania,eur
Russian Federation,rus
Rwanda,afr
Saint Helena,afr
Saint Kitts and Nevis,lam
Saint Lucia,lam
Saint Pierre and Miquelon,lam
Saint Vincent and the Grenadines,lam
Samoa,anz
San Marino,roe
Sao Tome and Principe,afr
Saudi Arabia,mes
Senegal,afr
Serbia and Montenegro,roe
Seychells,afr
Sierra Leone,afr
Singapore,asi
Slovakia,eur
Slovenia,eur
Solomon Islands,anz
Somalia,afr
South African Republic,afr
Spain,eur
Sri Lanka,rea
Sudan,afr
Suriname,lam
Swaziland,afr
Sweden,eur
Switzerland,eur
Syria,mes
Taiwan,asi
Tajikistan,roe
Tanzania,afr
Thailand,asi
Timor Leste,rea
Togo,afr
Tokelau,anz
Tonga,anz
Trinidad and Tobago,lam
Tunisia,afr
Turkey,roe
Turkmenistan,roe
Turks and Caicos,lam
Tuvalu,anz
Uganda,afr
Ukraine,roe
United Arab Emirates,mes
United Kingdom,eur
United States,usa
Uruguay,lam
Uzbekistan,roe
Vanuatu,anz
Venezuela,lam
Vietnam,rea
"Virgin Islands, British",lam
"Virgin Islands, U.S",lam
Wallis and Futuna,anz
Yemen,mes
Zambia,afr
Zimbabwe,afr
