EPPA,CEDS,GFED,GAINS,SSP,Figure,Name
SO2,SO2,SO2,SO2,Sulfur,SO$_2$,Sulfur Dioxide
NOx,NO,NOx,NOX,NOx,NO$_x$,Nitrogen Oxides
NH3,NH3,NH3,NH3,NH3,NH$_3$,Ammonia
OC,OC,OC,PM_OC,OC,OC,Organic Carbon
BC,BC,BC,PM_BC,BC,BC,Black Carbon
CO,CO,CO,CO,CO,CO,Carbon Monoxide
VOC,ALD2,C2H4O,VOC,VOC,NMVOC,Volatile Organics
VOC,ALD2,CH3COCHO,,,,
VOC,ALD2,HOCH2CHO,,,,
VOC,ALK4_butanes,,,,,
VOC,ALK4_hexanes,Higher_Alkanes,,,,
VOC,ALK4_pentanes,,,,,
VOC,BENZ,C6H6,,,,
VOC,BUTENE,Higher_Alkenes,,,,
VOC,C2H2,C2H2,,,,
VOC,C2H4,C2H4,,,,
VOC,C2H6,C2H6,,,,
VOC,C3H8,C3H8,,,,
VOC,CH2O,CH2O,,,,
VOC,CHC,,,,,
VOC,EOH,C2H5OH,,,,
VOC,ESTERS,,,,,
VOC,ETHERS,,,,,
VOC,HCOOH,HCOOH,,,,
VOC,MEK,MEK,,,,
VOC,OTHER_AROM,,,,,
VOC,PRPE,C3H6,,,,
VOC,TMB,,,,,
VOC,TOLU,C7H8,,,,
VOC,XYLE,C8H10,,,,
VOC,OTHER_VOC,C2H6S,,,,
VOC,OTHER_VOC,HCN,,,,
VOC,OTHER_VOC,C5H8,,,,
VOC,OTHER_VOC,C10H16,,,,
VOC,OTHER_VOC,CH3OH,,,,
VOC,OTHER_VOC,CH3COOH,,,,
VOC,OTHER_VOC,C3H6O,,,,
