Scenario,Species,Region,Inventory Sector,CEDS Fuel,GAINS Sector,Sectoral Emissions Fraction,2000,2005,2010,2015,2020,2030,2050
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agricultural Waste Burning,process,WASTE_AGR-NOF-[Mt],1.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,AGR_BEEF-OS-[M animals],0.6175824470698694,12.0648,12.0648,12.0648,12.0648,12.0648,11.375763257463417,12.54678575677903
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,AGR_COWS-DL-[M animals],0.00679376024724967,13.24160954,13.24160954,13.24160954,13.24160954,13.24160954,11.381120218957891,11.88911755247629
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,AGR_COWS-DS-[M animals],0.03607117702971692,14.39997386,14.39997386,14.39997386,14.39997386,14.39997386,12.376730574590791,12.929167066659009
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,AGR_OTANI-FU-[M animals],0.0018920680314422505,1.6927,1.6927,1.6927,1.6927,1.6927,1.4523570885733752,1.5151863960721013
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,AGR_OTANI-HO-[M animals],0.0292472169738287,8.0509,8.0509,8.0509,8.0509,8.0509,6.907769648724161,7.206601380124582
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,AGR_OTANI-SH-[M animals],0.01108276399613768,0.503,0.503,0.503,0.503,0.503,0.424334345937169,0.44528326679009217
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,AGR_PIG-PL-[M animals],0.0076744761360237794,5.2511,5.2511,5.2511,5.2511,5.2511,4.641995696563685,4.88521516022701
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,AGR_PIG-PS-[M animals],0.0076744761360237794,5.2511,5.2511,5.2511,5.2511,5.2511,4.641995696563685,4.88521516022701
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,AGR_POULT-LH-[M animals],0.015523375494534346,0.3746,0.3746,0.3746,0.3746,0.3746,0.3141434078493956,0.3232534062357209
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,AGR_POULT-OP-[M animals],0.04099334417248378,0.3236,0.3236,0.3236,0.3236,0.3236,0.2713742839830871,0.27924399962060675
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,COWS_3000_MILK-DL-[kt milk],0.004954299236268561,0.004297604,0.004297604,0.004297604,0.004297604,0.004297604,0.003967091669038561,0.004150943715535952
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,COWS_3000_MILK-DS-[kt milk],0.018424059058325042,0.003273409,0.003273409,0.003273409,0.003273409,0.003273409,0.003021663599823494,0.0031617004537711772
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,FCON_OTHN-NOF-[kt N],0.029452302313619165,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.035182782690136485,0.04003292739296881
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,FCON_UREA-NOF-[kt N],0.16449420696972195,0.1821,0.1821,0.1821,0.1821,0.1821,0.17315634399659063,0.1970269210340438
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,FERTPRO-NOF-[kt N],0.0020175910665858506,0.0023,0.0023,0.0023,0.0023,0.0023,0.002187037842900376,0.0024885333244277904
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Agriculture,process,OTH_NH3_EMISS-NOF-[kt NH3],0.006122436068169134,1.0,1.0,1.0,1.0,1.0,0.8358146938961771,0.8412917652600996
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_ENG-GAS-[PJ],0.0014455430498781844,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_ENG-HF-[PJ],0.0007932458459648993,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
