Scenario,Species,Region,Inventory Sector,CEDS Fuel,2000,2005,2010,2015,2020,2030,2050
WEO2018_NPS_CLE_CH4b,SO2,AFR,Agricultural Waste Burning,process,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,AFR,Agriculture,process,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,AFR,Commercial,solid-biofuel,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,AFR,Commercial,total-coal,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,AFR,Energy,liquid-fuel-plus-natural-gas,1.4168235723376237,1.2433774991903486,1.1739830561313,0.956504235967175,0.9961158504723253,0.8327257047556398,0.7935271204691225
WEO2018_NPS_CLE_CH4b,SO2,AFR,Energy,process,1.0667588110950996,1.0694262159214534,0.9266176713129413,1.0183455821717644,0.8856089445652172,0.9860594655505879,1.2122066363203388
WEO2018_NPS_CLE_CH4b,SO2,AFR,Energy,solid-biofuel,1.0325518562973923,0.9971275428080643,0.9060697863450144,1.0234825534137464,1.0604152707941055,1.0629463333291052,1.0628087942945033
WEO2018_NPS_CLE_CH4b,SO2,AFR,Energy,total-coal,0.972006591259025,0.9813348356586618,0.9977908767876843,1.000552280803079,0.5547770964489077,0.1993676943283602,0.1370547261678106
WEO2018_NPS_CLE_CH4b,SO2,AFR,Industry,liquid-fuel-plus-natural-gas,1.493542023213935,1.4620909848525772,1.2395153214907915,0.9401211696273021,0.5101053817819504,0.4377166027922888,0.44044096214770295
WEO2018_NPS_CLE_CH4b,SO2,AFR,Industry,process,1.2917049145918753,1.3275790906406268,1.3281283770845334,0.9179679057288668,0.67906471770588,0.6489711555042308,0.6722081012675386
WEO2018_NPS_CLE_CH4b,SO2,AFR,Industry,solid-biofuel,1.0041729171349347,1.0123832323453585,1.000119950637624,0.999970012340594,0.9963039015630994,0.994936321342152,0.990970651165399
WEO2018_NPS_CLE_CH4b,SO2,AFR,Industry,total-coal,1.0361599895563893,0.9790633071010924,0.9956095275889961,1.001097618102751,0.7040047610303394,0.33894270752935907,0.32819254473331166
WEO2018_NPS_CLE_CH4b,SO2,AFR,Non-road transport,liquid-fuel-plus-natural-gas,6.472777243725765,2.9173528076789625,1.4654048874166872,0.8836487781458283,0.5096043738617985,0.4204744993384366,0.3452073007962235
WEO2018_NPS_CLE_CH4b,SO2,AFR,Non-road transport,total-coal,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,AFR,Other,liquid-fuel-plus-natural-gas,4.827056010573882,2.845667340287893,1.3852615260426613,0.9036846184893348,0.6300318145012502,0.5695659022167664,0.5543680865699797
WEO2018_NPS_CLE_CH4b,SO2,AFR,Residential,liquid-fuel-plus-natural-gas,2.0465645452359524,1.7456089929930383,1.290632817859515,0.9273417955351212,1.1980689323250358,1.0770731494835553,0.8571970167227494
WEO2018_NPS_CLE_CH4b,SO2,AFR,Residential,solid-biofuel,1.0003193720130104,0.9966638945835808,0.9982328468605137,1.0004417882848715,1.0050233572689526,1.0046563568639424,1.005507130837601
WEO2018_NPS_CLE_CH4b,SO2,AFR,Residential,total-coal,1.0025664689510514,1.0074653750856395,0.9984141386281685,1.000396465342958,1.0477850717272998,1.1396268784598846,1.654907188760271
WEO2018_NPS_CLE_CH4b,SO2,AFR,Shipping,liquid-fuel-plus-natural-gas,6.472777243725765,2.9173528076789625,1.4654048874166872,0.8836487781458283,0.5096043738617985,0.4204744993384366,0.3452073007962235
WEO2018_NPS_CLE_CH4b,SO2,AFR,Solvents,process,1.0000000001911893,1.0000000001991016,0.9999999998421802,1.0000000000394549,1.0000000002209055,1.0000000002895457,1.0000000003488536
WEO2018_NPS_CLE_CH4b,SO2,AFR,Transport,liquid-fuel-plus-natural-gas,7.879900571536762,3.8543763742877526,1.6423149981785508,0.8394212504553624,0.05904566274796758,0.061194016866516446,0.06126663539058497
WEO2018_NPS_CLE_CH4b,SO2,AFR,Waste,process,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Agricultural Waste Burning,process,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Agriculture,process,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Commercial,solid-biofuel,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Commercial,total-coal,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Energy,liquid-fuel-plus-natural-gas,2.4892258792806734,2.153425141943799,1.080537610724106,0.9798655973189734,2.722561519059604,2.594403497014584,0.6789881946279055
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Energy,process,0.9434663062278897,0.9647508420760931,0.9314580503842856,1.0171354874039287,1.0163312844015244,0.9642237935173549,0.8991023350212898
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Energy,solid-biofuel,0.9349489061785405,1.0989417426242618,0.9718622915592355,1.0070344271101912,0.9951163027426286,0.9946180992091765,1.0052045877210882
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Energy,total-coal,1.1856926042599754,1.2074430881989748,1.0317355105753465,0.9920661223561634,0.8910277277604036,0.7677534792819289,0.6327722876801036
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Industry,liquid-fuel-plus-natural-gas,1.5622968332929978,1.4939479053084432,1.0502404109614487,0.9874398972596379,0.9000657056419771,0.9095799262654737,1.2738027570901498
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Industry,process,1.491047952554178,1.2368037048072182,1.020579687275018,0.9948550781812454,0.9943489869710032,0.9901663404496771,0.986458172879549
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Industry,solid-biofuel,1.1298733795861384,0.8870305212493643,0.9918047616042376,1.0020488095989406,1.1124421176756891,1.1269110218551392,1.1126697047342264
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Industry,total-coal,1.0518467449474107,0.9864271710809318,0.959966108843872,1.010008472789032,0.5949602724081241,0.6133414245809917,0.6198383506953752
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Non-road transport,liquid-fuel-plus-natural-gas,2.505810093799158,1.960851338579644,1.2291129724999468,0.9427217568750135,0.8861864420812057,0.7499760366383946,0.4745404652083958
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Non-road transport,total-coal,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Other,liquid-fuel-plus-natural-gas,2.352870446331974,2.040680177363814,1.198507545253291,0.9503731136866772,0.9464116679332856,0.8247607338840447,0.5716330284201806
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Residential,liquid-fuel-plus-natural-gas,2.3384164391172866,1.9821368346401325,0.7745704182581338,1.0563573954354666,2.909993312510649,2.69211128385676,2.0633655444209764
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Residential,solid-biofuel,1.0075581843268844,0.9843635100833821,0.9896314906383772,1.0025921273404057,1.0078507122807883,1.0557871443810212,1.0814445378430781
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Residential,total-coal,1.0400505096569257,1.1602752593759627,1.0778067986055504,0.9805483003486124,1.1789042033200092,1.464957329319474,3.1314659544864942
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Shipping,liquid-fuel-plus-natural-gas,2.50721313586762,1.9615196555654009,1.227912163428938,0.9430219591427654,0.8866068146048778,0.7502943368386187,0.47467550422845967
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Solvents,process,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Transport,liquid-fuel-plus-natural-gas,11.215292635521985,4.0023393693535185,4.087150800066291,0.22821229998342782,0.23225231757373416,0.23127340801264532,0.23136294216754527
WEO2018_NPS_CLE_CH4b,SO2,ANZ,Waste,process,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEO2018_NPS_CLE_CH4b,SO2,ASI,Agricultural Waste Burning,process,1.0,1.0,1.0,1.0,1.0,1.0,1.0
