Sector,Fuel,SO2,NO,NH3,OC,BC,CO,C2H4
Agriculture,total-coal,0,0,0,0,0,0,0
,solid-biofuel,0,0,0,0,0,0,0
,liquid-fuel-plus-natural-gas,0,0,0,0,0,0,0
,process,0,100,100,0,0,0,0
Commercial,total-coal,72,0,25,44,49,52,24
,solid-biofuel,1,0,27,49,25,11,27
,liquid-fuel-plus-natural-gas,27,100,48,7,26,38,50
,process,0,0,0,0,0,0,0
Energy,total-coal,64,51,5,7,3,10,0
,solid-biofuel,0,3,2,37,9,1,0
,liquid-fuel-plus-natural-gas,19,32,7,1,2,8,0
,process,17,14,87,55,86,81,100
Industry,total-coal,45,55,5,21,54,43,28
,solid-biofuel,0,9,38,74,20,8,26
,liquid-fuel-plus-natural-gas,20,32,10,6,26,5,8
,process,35,5,47,0,0,44,38
Non-road transport,total-coal,0,0,0,0,0,0,0
,solid-biofuel,0,0,0,0,0,0,0
,liquid-fuel-plus-natural-gas,100,100,100,100,100,100,100
,process,0,0,0,0,0,0,0
Other,total-coal,38,1,12,23,13,10,6
,solid-biofuel,0,2,9,43,8,20,16
,liquid-fuel-plus-natural-gas,62,97,79,34,79,70,78
,process,0,0,0,0,0,0,0
Residential,total-coal,70,8,0,8,13,13,3
,solid-biofuel,20,58,97,92,70,87,96
,liquid-fuel-plus-natural-gas,10,33,3,0,17,1,1
,process,0,0,0,0,0,0,0
Shipping,total-coal,0,0,0,0,0,0,0
,solid-biofuel,0,0,0,0,0,0,0
,liquid-fuel-plus-natural-gas,100,100,100,100,100,100,100
,process,0,0,0,0,0,0,0
Solvents,total-coal,0,0,0,0,0,0,0
,solid-biofuel,0,0,0,0,0,0,0
,liquid-fuel-plus-natural-gas,0,0,0,0,0,0,0
,process,0,0,100,0,0,0,0
Transport,total-coal,0,0,0,0,0,0,0
,solid-biofuel,0,0,0,0,0,0,0
,liquid-fuel-plus-natural-gas,100,100,100,100,100,100,100
,process,0,0,0,0,0,0,0
Waste,total-coal,0,0,0,0,0,0,0
,solid-biofuel,0,0,0,0,0,0,0
,liquid-fuel-plus-natural-gas,0,0,0,0,0,0,0
,process,100,100,100,100,100,100,100
