Species,Fuel,Sector,Region,2014
ALD2,total-coal,ALD2_agr,USA,0.0
ALD2,total-coal,ALD2_agr,CAN,0.0
ALD2,total-coal,ALD2_agr,MEX,0.0
ALD2,total-coal,ALD2_agr,JPN,0.0
ALD2,total-coal,ALD2_agr,ANZ,0.0
ALD2,total-coal,ALD2_agr,EUR,0.0
ALD2,total-coal,ALD2_agr,ROE,0.0
ALD2,total-coal,ALD2_agr,RUS,0.0
ALD2,total-coal,ALD2_agr,ASI,0.0
ALD2,total-coal,ALD2_agr,CHN,0.0
ALD2,total-coal,ALD2_agr,IND,0.0
ALD2,total-coal,ALD2_agr,BRA,0.0
ALD2,total-coal,ALD2_agr,AFR,0.0
ALD2,total-coal,ALD2_agr,MES,0.0
ALD2,total-coal,ALD2_agr,LAM,0.0
ALD2,total-coal,ALD2_agr,REA,0.0
ALD2,total-coal,ALD2_agr,KOR,0.0
ALD2,total-coal,ALD2_agr,IDZ,0.0
ALD2,total-coal,ALD2_ene,USA,2.3032443865825573e-05
ALD2,total-coal,ALD2_ene,CAN,3.830071722992224e-07
ALD2,total-coal,ALD2_ene,MEX,6.5670938239352475e-06
ALD2,total-coal,ALD2_ene,JPN,4.4688596911501696e-05
ALD2,total-coal,ALD2_ene,ANZ,4.011748705536333e-06
ALD2,total-coal,ALD2_ene,EUR,3.836822944467849e-05
ALD2,total-coal,ALD2_ene,ROE,2.837521246279291e-05
ALD2,total-coal,ALD2_ene,RUS,5.162694981287366e-05
ALD2,total-coal,ALD2_ene,ASI,7.359250740998867e-05
ALD2,total-coal,ALD2_ene,CHN,5.8911197065463014e-05
ALD2,total-coal,ALD2_ene,IND,2.3602666220125934e-05
ALD2,total-coal,ALD2_ene,BRA,4.232428763938454e-06
ALD2,total-coal,ALD2_ene,AFR,4.126272454193446e-06
ALD2,total-coal,ALD2_ene,MES,1.3895765358822702e-05
ALD2,total-coal,ALD2_ene,LAM,1.0272281108262498e-05
ALD2,total-coal,ALD2_ene,REA,8.12312016823533e-06
ALD2,total-coal,ALD2_ene,KOR,1.4471519360382204e-05
ALD2,total-coal,ALD2_ene,IDZ,1.1632927995103e-05
ALD2,total-coal,ALD2_ind,USA,2.344441160244334e-06
ALD2,total-coal,ALD2_ind,CAN,4.9632003074427e-06
ALD2,total-coal,ALD2_ind,MEX,7.73267106248507e-05
ALD2,total-coal,ALD2_ind,JPN,2.1081284581683912e-05
ALD2,total-coal,ALD2_ind,ANZ,4.100374348682721e-06
ALD2,total-coal,ALD2_ind,EUR,1.1853826858664185e-05
ALD2,total-coal,ALD2_ind,ROE,7.730806658438139e-05
