Species,Region,Sector,2014
SO2,USA,Agricultural Waste Burning,0.002475818583185239
SO2,CAN,Agricultural Waste Burning,0.0011360194851137624
SO2,MEX,Agricultural Waste Burning,0.0013853556349672181
SO2,JPN,Agricultural Waste Burning,0.000243948330610341
SO2,ANZ,Agricultural Waste Burning,0.0015903069093764664
SO2,EUR,Agricultural Waste Burning,0.002086822833575156
SO2,ROE,Agricultural Waste Burning,0.008173718326912528
SO2,RUS,Agricultural Waste Burning,0.0265044108651577
SO2,ASI,Agricultural Waste Burning,0.0028080072798442024
SO2,CHN,Agricultural Waste Burning,0.012449960227594101
SO2,IND,Agricultural Waste Burning,0.0032359913426155155
SO2,BRA,Agricultural Waste Burning,0.004966227675330241
SO2,AFR,Agricultural Waste Burning,0.030428097892576826
SO2,MES,Agricultural Waste Burning,0.00015766384779093473
SO2,LAM,Agricultural Waste Burning,0.004870066634694707
SO2,REA,Agricultural Waste Burning,0.004314711387328557
SO2,KOR,Agricultural Waste Burning,0.00010498737043609546
SO2,IDZ,Agricultural Waste Burning,0.0014227892092031373
NOx,USA,Agricultural Waste Burning,0.01924948847862598
NOx,CAN,Agricultural Waste Burning,0.008832551073780738
NOx,MEX,Agricultural Waste Burning,0.010771139508328047
NOx,JPN,Agricultural Waste Burning,0.001896698161155339
NOx,ANZ,Agricultural Waste Burning,0.012364635584583283
NOx,EUR,Agricultural Waste Burning,0.01622504670986428
NOx,ROE,Agricultural Waste Burning,0.0635506568051562
NOx,RUS,Agricultural Waste Burning,0.20607178369408233
NOx,ASI,Agricultural Waste Burning,0.0218322553667097
NOx,CHN,Agricultural Waste Burning,0.09679843600768306
NOx,IND,Agricultural Waste Burning,0.02515983125669638
NOx,BRA,Agricultural Waste Burning,0.03861241826708548
NOx,AFR,Agricultural Waste Burning,0.23657844918846638
NOx,MES,Agricultural Waste Burning,0.0012258363615174493
NOx,LAM,Agricultural Waste Burning,0.037864766085005275
NOx,REA,Agricultural Waste Burning,0.033546879391717604
NOx,KOR,Agricultural Waste Burning,0.0008162767631669586
NOx,IDZ,Agricultural Waste Burning,0.011062185531426013
NH3,USA,Agricultural Waste Burning,0.013431316009449365
NH3,CAN,Agricultural Waste Burning,0.006162905800482657
NH3,MEX,Agricultural Waste Burning,0.007515554451575724
NH3,JPN,Agricultural Waste Burning,0.0013234197058592829
NH3,ANZ,Agricultural Waste Burning,0.008627415132527728
NH3,EUR,Agricultural Waste Burning,0.011321014090010994
NH3,ROE,Agricultural Waste Burning,0.04434242276449856
NH3,RUS,Agricultural Waste Burning,0.14378643143882883
NH3,ASI,Agricultural Waste Burning,0.015233439712931906
NH3,CHN,Agricultural Waste Burning,0.0675410352936764
NH3,IND,Agricultural Waste Burning,0.017555253279891065
NH3,BRA,Agricultural Waste Burning,0.02694178568452304
NH3,AFR,Agricultural Waste Burning,0.1650724341139552
NH3,MES,Agricultural Waste Burning,0.0008553263939201452
NH3,LAM,Agricultural Waste Burning,0.0264201119537536
NH3,REA,Agricultural Waste Burning,0.02340730964268876
NH3,KOR,Agricultural Waste Burning,0.0005695564875394093
NH3,IDZ,Agricultural Waste Burning,0.007718631611697562
OC,USA,Agricultural Waste Burning,0.014235956312848155
OC,CAN,Agricultural Waste Burning,0.006532111798774077
OC,MEX,Agricultural Waste Burning,0.007965794597519928
OC,JPN,Agricultural Waste Burning,0.0014027028357352117
OC,ANZ,Agricultural Waste Burning,0.009144264391506035
OC,EUR,Agricultural Waste Burning,0.011999230808568385
OC,ROE,Agricultural Waste Burning,0.04699887867243758
OC,RUS,Agricultural Waste Burning,0.15240035672815982
OC,ASI,Agricultural Waste Burning,0.016146041246026192
OC,CHN,Agricultural Waste Burning,0.07158726853212528
OC,IND,Agricultural Waste Burning,0.01860694935697622
OC,BRA,Agricultural Waste Burning,0.02855580806164182
OC,AFR,Agricultural Waste Burning,0.17496155633368957
OC,MES,Agricultural Waste Burning,0.0009065670925981886
OC,LAM,Agricultural Waste Burning,0.028002882118915013
OC,REA,Agricultural Waste Burning,0.02480958948419849
OC,KOR,Agricultural Waste Burning,0.0006036773475799995
OC,IDZ,Agricultural Waste Burning,0.008181037681910211
BC,USA,Agricultural Waste Burning,0.004642159750940777
BC,CAN,Agricultural Waste Burning,0.0021300364999997613
BC,MEX,Agricultural Waste Burning,0.002597541765971818
BC,JPN,Agricultural Waste Burning,0.00045740310874566254
BC,ANZ,Agricultural Waste Burning,0.0029818254045883273
BC,EUR,Agricultural Waste Burning,0.003912792753604315
BC,ROE,Agricultural Waste Burning,0.015325721630841142
BC,RUS,Agricultural Waste Burning,0.049695769461568756
BC,ASI,Agricultural Waste Burning,0.0052650135610500855
BC,CHN,Agricultural Waste Burning,0.023343674956829024
BC,IND,Agricultural Waste Burning,0.006067483635338716
BC,BRA,Agricultural Waste Burning,0.009311676747053469
BC,AFR,Agricultural Waste Burning,0.05705268255823385
BC,MES,Agricultural Waste Burning,0.0002956197099440016
