Species,Sector,Region,Fuel,2014_Proportion
ALD2,ALD2_agr,USA,process,0.0
ALD2,ALD2_agr,CAN,process,0.0
ALD2,ALD2_agr,MEX,process,0.0
ALD2,ALD2_agr,JPN,process,0.0
ALD2,ALD2_agr,ANZ,process,0.0
ALD2,ALD2_agr,EUR,process,0.0
ALD2,ALD2_agr,ROE,process,0.0
ALD2,ALD2_agr,RUS,process,0.0
ALD2,ALD2_agr,ASI,process,0.0
ALD2,ALD2_agr,CHN,process,0.0
ALD2,ALD2_agr,IND,process,0.0
ALD2,ALD2_agr,BRA,process,0.0
ALD2,ALD2_agr,AFR,process,0.0
ALD2,ALD2_agr,MES,process,0.0
ALD2,ALD2_agr,LAM,process,0.0
ALD2,ALD2_agr,REA,process,0.0
ALD2,ALD2_agr,KOR,process,0.0
ALD2,ALD2_agr,IDZ,process,0.0
ALD2,ALD2_rcoc,USA,process,0.0
ALD2,ALD2_rcoc,CAN,process,0.0
ALD2,ALD2_rcoc,MEX,process,0.0
ALD2,ALD2_rcoc,JPN,process,0.0
ALD2,ALD2_rcoc,ANZ,process,0.0
ALD2,ALD2_rcoc,EUR,process,0.0
ALD2,ALD2_rcoc,ROE,process,0.0
ALD2,ALD2_rcoc,RUS,process,0.0
ALD2,ALD2_rcoc,ASI,process,0.0
ALD2,ALD2_rcoc,CHN,process,0.0
ALD2,ALD2_rcoc,IND,process,0.0
ALD2,ALD2_rcoc,BRA,process,0.0
ALD2,ALD2_rcoc,AFR,process,0.0
ALD2,ALD2_rcoc,MES,process,0.0
ALD2,ALD2_rcoc,LAM,process,0.0
ALD2,ALD2_rcoc,REA,process,0.0
ALD2,ALD2_rcoc,KOR,process,0.0
ALD2,ALD2_rcoc,IDZ,process,0.0
ALD2,ALD2_ene,USA,process,0.9794019763928791
ALD2,ALD2_ene,CAN,process,0.9580232025431712
ALD2,ALD2_ene,MEX,process,0.967332106454127
ALD2,ALD2_ene,JPN,process,0.8441596778422633
ALD2,ALD2_ene,ANZ,process,0.6820275206326888
ALD2,ALD2_ene,EUR,process,0.8947299290141375
ALD2,ALD2_ene,ROE,process,0.9526701603700644
ALD2,ALD2_ene,RUS,process,0.9049276957816207
ALD2,ALD2_ene,ASI,process,0.8239236581909248
ALD2,ALD2_ene,CHN,process,0.9174463544145224
ALD2,ALD2_ene,IND,process,0.8707310874002456
ALD2,ALD2_ene,BRA,process,0.9599615530026434
ALD2,ALD2_ene,AFR,process,0.9914724243621259
ALD2,ALD2_ene,MES,process,0.9883219621585573
ALD2,ALD2_ene,LAM,process,0.9190484813922104
ALD2,ALD2_ene,REA,process,0.9166726019971274
ALD2,ALD2_ene,KOR,process,0.9432811686815327
ALD2,ALD2_ene,IDZ,process,0.946474862428567
ALD2,ALD2_ind,USA,process,0.7621919736485689
ALD2,ALD2_ind,CAN,process,0.4284836340482005
ALD2,ALD2_ind,MEX,process,0.5558706857176141
ALD2,ALD2_ind,JPN,process,0.5988001461911658
ALD2,ALD2_ind,ANZ,process,0.3983314811515207
ALD2,ALD2_ind,EUR,process,0.8036517528717769
ALD2,ALD2_ind,ROE,process,0.5191182726649242
ALD2,ALD2_ind,RUS,process,0.48870769788792384
ALD2,ALD2_ind,ASI,process,0.4938047402651476
ALD2,ALD2_ind,CHN,process,0.3612480987554854
ALD2,ALD2_ind,IND,process,0.19626972860320907
ALD2,ALD2_ind,BRA,process,0.21204250680388254
ALD2,ALD2_ind,AFR,process,0.1315594269824161
ALD2,ALD2_ind,MES,process,0.7128427152563058
ALD2,ALD2_ind,LAM,process,0.13170100007940377
ALD2,ALD2_ind,REA,process,0.02843601578558798
ALD2,ALD2_ind,KOR,process,0.9580288138959184
